Diamond,carat,cut,color,clarity,depth,table,x,y,z
Diamond 1,0.32,Premium,J,VS2,61.9,59.0,4.35,4.38,2.7
Diamond 2,0.31,Very Good,D,SI1,63.0,55.0,4.32,4.34,
Diamond 3,1.6,Ideal,F,VS2,62.0,55.0,,7.54,4.66
Diamond 4,0.31,Good,,SI2,63.1,54.0,,4.38,2.75
Diamond 5,0.3,Ideal,G,IF,61.2,57.0,4.35,4.38,
Diamond 6,0.52,Ideal,E,VS2,61.1,55.0,5.27,5.2,3.2
Diamond 7,,Very Good,H,SI2,57.0,63.0,6.09,6.18,3.5
Diamond 8,0.4,Ideal,G,VVS2,62.4,56.0,4.74,4.72,2.95
Diamond 9,0.33,Ideal,D,VVS2,61.1,56.0,,4.44,
Diamond 10,1.72,Ideal,J,SI1,62.0,57.0,7.66,7.62,4.74
Diamond 11,0.51,Very Good,J,VS2,61.9,61.0,5.09,5.12,3.16
Diamond 12,0.33,Ideal,F,VVS2,61.9,56.0,4.42,4.46,2.75
Diamond 13,1.14,Ideal,H,SI1,61.6,57.0,6.68,6.73,
Diamond 14,0.55,Good,E,VS2,59.8,61.0,5.29,5.32,3.17
Diamond 15,,Very Good,G,VS1,,58.0,6.5,6.55,4.03
Diamond 16,0.35,Ideal,G,VVS2,61.8,55.0,4.53,4.56,2.81
Diamond 17,1.0,Premium,D,SI1,61.3,61.0,6.52,6.39,3.96
Diamond 18,0.31,Ideal,E,VS2,61.9,55.0,4.34,4.38,2.7
Diamond 19,0.51,Very Good,G,VVS2,62.9,57.0,5.09,5.12,3.21
Diamond 20,1.0,Premium,,SI2,62.7,58.0,6.32,6.28,3.95
Diamond 21,1.32,Fair,F,VVS1,,66.0,7.31,,4.23
Diamond 22,0.36,Good,E,SI2,63.7,54.0,4.55,4.52,2.89
Diamond 23,0.57,Good,,SI1,63.3,56.0,5.27,5.29,3.34
Diamond 24,1.22,Very Good,G,SI1,63.4,57.0,6.74,6.77,4.28
Diamond 25,0.8,Very Good,F,SI2,61.0,57.0,6.01,6.03,3.67
Diamond 26,0.92,Ideal,J,VS1,62.0,55.0,6.24,6.27,3.88
Diamond 27,0.95,Ideal,F,SI1,61.7,56.0,6.31,6.34,3.9
Diamond 28,0.51,Very Good,D,SI2,61.5,59.0,5.07,5.14,3.14
Diamond 29,0.74,Premium,F,SI1,58.8,61.0,5.88,5.82,3.44
Diamond 30,0.3,,E,VS2,62.2,60.0,4.24,4.28,2.65
Diamond 31,1.05,Premium,G,SI1,59.1,57.0,6.73,6.63,3.95
Diamond 32,0.3,Ideal,E,VS2,61.0,56.0,4.36,4.33,2.65
Diamond 33,1.39,Good,F,SI2,63.8,55.0,7.05,7.08,4.51
Diamond 34,1.21,Good,G,VS2,63.7,59.0,6.59,6.67,4.22
Diamond 35,0.55,Ideal,F,VS1,,55.0,5.28,5.3,3.27
Diamond 36,,Premium,E,SI1,60.5,61.0,,6.19,3.76
Diamond 37,0.51,Premium,J,VS2,61.5,58.0,5.14,5.1,3.15
Diamond 38,1.32,Very Good,I,SI1,62.1,57.0,6.99,7.09,4.37
Diamond 39,0.75,Ideal,F,VS2,62.1,57.0,5.8,5.82,3.61
Diamond 40,0.4,Very Good,E,VVS2,63.0,55.0,4.72,4.74,2.98
Diamond 41,0.4,Premium,H,SI1,62.1,62.0,4.73,4.7,2.93
Diamond 42,1.03,Ideal,H,SI2,60.6,56.0,6.53,6.63,3.99
Diamond 43,0.28,Very Good,E,VVS2,60.2,58.0,4.24,4.27,2.56
Diamond 44,0.31,Ideal,I,IF,62.2,54.0,,4.36,
Diamond 45,0.4,,E,VS2,62.3,56.0,4.75,4.72,2.95
Diamond 46,0.3,Ideal,G,VS1,62.9,57.0,4.31,4.28,2.7
Diamond 47,0.41,Ideal,G,VS1,60.8,,4.79,4.82,2.92
Diamond 48,0.34,Ideal,G,VS2,62.1,,4.49,4.46,2.78
Diamond 49,0.42,Ideal,D,VVS2,62.1,55.0,,4.79,2.98
Diamond 50,0.66,Very Good,F,SI2,61.6,54.0,5.62,5.64,3.47
Diamond 51,0.51,Ideal,G,VVS2,61.5,57.0,5.13,,3.17
Diamond 52,1.0,Premium,G,VVS2,61.6,61.0,6.38,6.35,3.92
Diamond 53,0.91,Premium,H,VS2,62.5,59.0,6.19,6.09,3.84
Diamond 54,0.32,Premium,I,VVS2,61.9,59.0,4.35,4.38,2.7
Diamond 55,0.31,Ideal,D,VS2,61.2,55.0,4.38,,2.67
Diamond 56,0.33,Very Good,F,VS2,63.2,56.0,4.41,4.39,
Diamond 57,0.36,Ideal,E,VS1,61.6,57.0,4.54,4.58,2.81
Diamond 58,1.11,Premium,J,SI1,59.5,58.0,6.89,6.77,4.07
Diamond 59,0.3,Ideal,F,VS2,61.6,57.0,4.32,4.28,
Diamond 60,0.3,Ideal,F,VS1,61.5,55.0,4.31,4.34,2.66
Diamond 61,1.06,Ideal,I,SI2,61.8,57.0,6.57,6.6,4.07
Diamond 62,1.5,Premium,J,SI1,61.2,61.0,7.43,,4.53
Diamond 63,2.01,,F,SI2,62.4,,8.08,8.05,5.03
Diamond 64,1.01,Ideal,G,SI2,62.1,57.0,6.48,6.44,4.01
Diamond 65,1.03,Ideal,F,VVS2,62.4,55.6,,6.49,4.02
Diamond 66,0.3,Ideal,E,IF,61.1,57.0,4.31,4.33,2.64
Diamond 67,0.71,Good,E,SI1,63.1,59.0,5.62,5.75,3.59
Diamond 68,0.51,Premium,F,SI2,58.1,59.0,5.26,5.24,3.05
Diamond 69,0.35,Premium,F,VS2,,60.0,4.51,4.45,2.78
Diamond 70,0.43,Very Good,G,VS2,59.1,60.0,4.88,4.93,2.9
