carat,cut,color,clarity,depth,table,x,y,z,carat_log,table_log,PredictedPrice
0.29,Premium,I,VS2,62.4,58.0,4.2,4.23,2.63,0.2546422183735807,4.07753744390572,449.5018674293948
0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75,0.27002713721306015,4.07753744390572,331.1063661695141
0.3,Good,J,SI1,64.0,55.0,4.25,4.28,2.73,0.262364264467491,4.02535169073515,366.3857380729865
0.31,Ideal,J,SI2,62.2,54.0,4.35,4.37,2.71,0.27002713721306015,4.007333185232471,334.23400252909664
0.32,Premium,E,I1,60.9,58.0,4.38,4.42,2.68,0.2776317365982795,4.07753744390572,365.5622821576033
0.3,Ideal,I,SI2,62.0,54.0,4.31,4.34,2.68,0.262364264467491,4.007333185232471,367.7790997408188
0.3,Good,J,SI1,63.4,54.0,4.23,4.29,2.7,0.262364264467491,4.007333185232471,352.8322986303656
0.3,Good,J,SI1,63.8,56.0,4.23,4.26,2.71,0.262364264467491,4.04305126783455,359.19193807682336
0.3,Very Good,J,SI1,62.7,59.0,4.21,4.27,2.66,0.262364264467491,4.0943445622221,361.11260815189706
0.3,Good,I,SI2,63.3,56.0,4.26,4.3,2.71,0.262364264467491,4.04305126783455,349.440155124497
0.31,Very Good,J,SI1,61.7575931301403,62.0,4.39,4.43,2.62,0.27002713721306015,4.143134726391533,395.17800750139645
0.3,Very Good,J,SI1,62.2,57.0,4.28,4.3,2.67,0.262364264467491,4.060443010546419,371.3799412615227
0.31,Good,H,SI1,64.0,54.0,4.29,4.31,2.75,0.27002713721306015,4.007333185232471,492.5675394259991
0.33,Ideal,I,SI2,61.8,55.0,4.49,4.51,2.78,0.2851789422336624,4.02535169073515,440.53101708842206
0.33,Ideal,I,SI2,61.2,56.0,4.49,4.5,2.75,0.2851789422336624,4.04305126783455,432.84718990135
0.33,Ideal,J,SI1,61.1,56.0,4.49,4.55,2.76,0.2851789422336624,4.04305126783455,460.2139449964308
0.7,Good,H,SI2,63.1,56.0,4.34,4.37,2.75,0.5306282510621704,4.04305126783455,399.5943196083128
0.32,Good,H,SI2,63.8,56.0,4.36,4.38,2.79,0.2776317365982795,4.04305126783455,445.28447306884743
